11510 22800
-0.412708 0.454525 0.252396
-0.404550 0.450254 0.259412
-0.167164 0.443506 0.310195
-0.164912 0.450110 0.309440
-0.232513 0.423636 0.293325
-0.312956 0.411067 0.284586
-0.382319 0.428294 0.252629
-0.179139 0.475659 0.287651
-0.251510 0.509000 0.300617
-0.350740 0.496355 0.275549
-0.412105 0.461048 0.231431
-0.211377 0.497299 0.296202
-0.299926 0.507150 0.294308
-0.389646 0.480757 0.250811
-0.195158 0.433003 0.287444
-0.271963 0.414158 0.292561
-0.351617 0.417325 0.269469
-0.412796 0.445896 0.230413
-0.400736 0.437880 0.239803
-0.172246 0.439949 0.282084
-0.166894 0.453801 0.282016
-0.183645 0.742733 0.379794
-0.332411 0.754659 0.307927
-0.442691 0.743235 0.221745
-0.264137 0.750001 0.348782
-0.391812 0.752594 0.264830
-0.486950 0.736574 0.173624
-0.527325 0.745445 0.113521
-0.099049 0.730060 0.396547
-0.028369 0.720541 0.402060
-0.197693 0.799890 0.356803
-0.342818 0.815189 0.276550
-0.448328 0.799570 0.193590
-0.275702 0.810392 0.320612
-0.400999 0.810637 0.232843
-0.489642 0.791922 0.150081
-0.525971 0.798921 0.096148
-0.116607 0.788558 0.377626
-0.036783 0.779271 0.385775
-0.209592 0.875377 0.325488
-0.354251 0.876987 0.245931
-0.454704 0.858274 0.164016
-0.287315 0.878615 0.290250
-0.410015 0.869907 0.202574
-0.492180 0.849910 0.122482
-0.522413 0.852234 0.076600
-0.125929 0.869219 0.347784
-0.042235 0.864820 0.357038
-0.611502 0.461408 0.028751
-0.590857 0.536442 0.050795
-0.618300 0.430269 0.024371
-0.643764 0.278134 0.012578
-0.625207 0.390484 0.024291
-0.635132 0.341057 0.020095
-0.642162 0.205311 0.006782
-0.603830 0.486385 0.037490
-0.575192 0.605713 0.066571
-0.565917 0.661771 0.070251
-0.563644 0.709566 0.062711
-0.561253 0.760151 0.052598
-0.555879 0.813419 0.041992
-0.230757 1.066014 0.216509
-0.371230 1.034061 0.150253
-0.464367 0.989233 0.079314
-0.307830 1.052273 0.186605
-0.422163 1.012436 0.113101
-0.498127 0.965503 0.050421
-0.546776 0.863436 0.031369
-0.522242 0.940561 0.029229
-0.143986 1.074267 0.236711
-0.052600 1.077389 0.246509
-0.536924 0.907542 0.023848
